PmtId,InstrId,EndToEndId,TxId,IntrBkSttlmAmt,Ccy,IntrBkSttlmDt,DebtorName,DebtorAccount,DebtorFinInstnId,ClrSysMmbId,PayeeName,PayeeAccount,PayeeFinInstnId,Purpose
PMT298071,IID319475,E2E847642,TX537105,8868.19,UAH,2013-09-21T00:13:55Z,Flashpoint,5602258587986931,FR14 9082 8439 11L2 6LHS A6AA 877,876,Jordana Spreag,3562734160771646,COBAAEADXXX ,CXBSNS
PMT112665,IID190788,E2E811211,TX075876,7989.24,CNY,2012-01-31T01:38:58Z,Jetpulse,3535115489072318,LI04 5193 1QKF 1M8E HASO I,144,Jarred Baldetti,30102818321331,COBACNSXXXX,CXPSNL
PMT113234,IID250771,E2E488209,TX688197,9697.13,SEK,2010-05-23T06:09:21Z,Gigabox,3533523733563101,BR55 2148 0315 8399 5784 1352 895X X,999,Munroe Batram,372301961052513,COBASGSXXXX,CXBSNS
PMT299325,IID077573,E2E878112,TX038951,8977.81,IDR,2018-04-20T15:46:07Z,Divape,560223612584525949,BR25 5587 2267 8796 8552 2110 008B 9,856,Auria Kohler,3579864656311697,COBAAEADXXX ,CXPSNL
PMT407917,IID123705,E2E265491,TX195215,9769.46,EUR,2017-06-30T18:40:10Z,Mynte,201443843714774,FR26 9482 1521 07PV HIII 2RUA X85,437,Conni Petrovsky,633110366781340278,COBACNSXXXX,CXMRCH
PMT593808,IID802860,E2E579941,TX739989,9888.42,KRW,2012-09-19T11:24:57Z,Plambee,5048376296444067,GR20 5232 142N P2NZ WBTQ IFKD XJB,715,Eal Sandell,201931837235152,COBAAEADXXX ,CXBSNS
PMT323748,IID149130,E2E420414,TX069851,8999.14,EUR,2009-04-01T01:47:48Z,Realmix,201781430032179,EE33 9688 9539 1277 7569,299,Stearn Caudrey,3561536956240889,COBAAEADXXX ,CXPSNL
PMT553966,IID603635,E2E294644,TX873090,9847.51,IRR,2009-07-13T21:29:38Z,Wikizz,5231718667008764,MC61 3947 5465 89TN MEFA BYIY H45,795,Alvy Mulqueeny,5108757089224773,COBAAEADXXX ,CXPSNL
PMT371654,IID177494,E2E489341,TX151864,8899.44,IDR,2010-11-11T04:41:09Z,Jaxspan,67614663095531978,PK85 JAZG LH2W SXLV K0JV I9ZE,603,Jerald Armatys,3560836601951836,COBACNSXXXX,CXMRCH
PMT225890,IID784886,E2E459775,TX678648,9799.46,CNY,2018-03-10T09:52:38Z,Oyope,4913279872292493,PT75 0774 3528 3766 4018 3826 7,357,Rachel Kightly,4508191528820893,COBAAEADXXX ,CXPSNL
PMT760636,IID489641,E2E335884,TX337418,7899.33,PHP,2009-09-21T19:54:45Z,Yabox,3564819234085566,BE04 4784 1980 6759,275,Madel Muriel,3582858393199162,COBAAEADXXX ,CXBSNS
PMT428199,IID152555,E2E560437,TX549191,7996.69,PHP,2016-06-29T01:12:16Z,Yodoo,5225678169702470,GR68 1542 957Z PJEM 7EUO BTNL GVZ,381,Eveline Scotti,3577574710822389,COBAAEADXXX ,CXBSNS
PMT778107,IID103688,E2E867710,TX179123,9989.98,CNY,2018-05-14T05:46:51Z,Cogidoo,6767894200948566,BR14 1269 7088 7905 4285 9669 080N Y,855,Myrna Le Clercq,3554154258397578,COBAAEADXXX ,CXMRCH
PMT854333,IID928531,E2E411258,TX972589,8988.61,EUR,2012-07-12T06:32:47Z,Tagcat,201694975668820,FR35 7888 9588 71YE VOEX EDBN C10,408,Kanya Lodeke,67630997065968269,COBAHKHXXXX,CXBSNS
PMT057429,IID904065,E2E311019,TX292915,8989.66,BGN,2017-03-25T04:35:08Z,Quinu,374622138187017,SE46 1738 4855 8951 7694 6810,372,Skipton Feathersby,6771656296698089480,COBAAEADXXX ,CXBSNS
PMT949880,IID362703,E2E072384,TX694915,9989.87,PEN,2018-04-20T20:09:25Z,Ntag,4496557757552,CR15 3380 3119 4659 0704 3,141,Ilise Braime,5602230006113512,COBACNSXXXX,CXBSNS
PMT490239,IID176549,E2E178145,TX568130,8889.80,ZAR,2010-07-20T02:06:30Z,Topicstorm,3552897516077422,TN16 7269 6374 3569 0966 0904,345,Wesley Ohanessian,3530412605022573,COBAAEADXXX ,CXPSNL
PMT322132,IID605338,E2E035967,TX157057,9775.57,RUB,2011-06-22T14:18:37Z,Oodoo,3548193096155797,BR23 0273 7477 1599 3482 5344 381I P,211,Ashlin Ralfe,3553123149209145,COBASGSXXXX,CXPSNL
PMT052527,IID841225,E2E613420,TX157087,8779.13,CNY,2016-11-08T06:00:35Z,Gigashots,3584412775039188,CH09 0942 6XN9 I18E 0JFU 9,466,Leonanie Trump,3543877457073483,COBAAEADXXX ,CXPSNL
PMT724731,IID145689,E2E056578,TX547281,9998.22,HTG,2009-02-27T19:15:19Z,Twinte,67719623629054198,MK62 034B CRGD O729 196,678,Kalinda Mattacks,5610501383605092,COBACNSXXXX,CXPSNL
PMT471566,IID026381,E2E574959,TX436772,9999.11,PHP,2012-08-05T17:51:29Z,Fatz,56022483132890306,IL61 4862 2695 8091 0152 512,133,Arney Hardwich,3565720702820584,COBAAEADXXX ,CXBSNS
PMT793248,IID195523,E2E801664,TX087790,9896.28,USD,2017-01-14T11:10:00Z,Rhycero,4026874620381335,LB86 7556 X6CH JZZX PDIK RFND FKG3,776,Nita Tassell,6383835504079917,COBAHKHXXXX,CXPSNL
PMT978616,IID390634,E2E542756,TX098739,8897.65,CNY,2014-09-19T14:02:24Z,Skipfire,58935510763733983,CH70 3178 5NMW 3PF8 UU0W P,152,Nannette Pyke,5641820875420360207,COBAAEADXXX ,CXPSNL
PMT510498,IID464359,E2E158930,TX869764,8887.33,SEK,2013-12-02T09:54:07Z,Mudo,5358735889282438,BG58 CTGZ 5536 53QM HLSE G7,025,Elisa Martell,5602249122281250,COBAAEADXXX ,CXBSNS
PMT027109,IID596435,E2E588280,TX455723,9999.01,CNY,2017-01-13T22:57:01Z,Oyoloo,3566745713305951,DE39 8392 8427 5379 2652 89,159,Claudianus Risbie,4041598291771,COBAAEADXXX ,CXSALA
PMT326618,IID215825,E2E118102,TX959712,8969.24,AED,2017-12-04T09:44:34Z,Aimbo,5002356027214678,BG98 OXOX 8157 49YR 9OSB ZQ,990,Tannie MacDougal,3552434976510773,COBAHKHXXXX,CXBSNS
PMT514287,IID151592,E2E589838,TX267814,9969.49,EUR,2012-10-17T13:38:28Z,Dabjam,3581231920546274,FO46 3981 8204 0486 58,748,Farr Elmer,3585950073353529,COBACNSXXXX,CXSALA
PMT700714,IID281935,E2E411718,TX986236,7899.19,USD,2013-04-22T02:42:52Z,Skyba,3542514748256624,GE26 CP79 0105 5950 5340 30,271,Geneva Avrahamy,201730777251835,COBAAEADXXX ,CXPSNL
PMT314708,IID213559,E2E287269,TX290602,8987.57,BWP,2017-03-08T08:15:07Z,Fatz,3575240782208780,FR48 3980 3685 56OO WDAD DOPC R96,205,Javier Signore,5007661563300285,COBACNSXXXX,CXPSNL
PMT047745,IID752937,E2E768321,TX699175,7988.54,THB,2011-02-10T14:43:21Z,Aimbo,3567043265882711,BG95 DILA 8886 08Q2 1EKO HG,682,Orel Gundrey,3586083776492201,COBAAEADXXX ,CXBSNS
PMT477832,IID521606,E2E753713,TX426851,4999.60,CNY,2014-02-25T08:54:56Z,Jatri,36159558789493,BH38 EXMJ POAX 70IO 677K CC,247,Portie Spinley,3549616029996654,COBACNSXXXX,CXMRCH
PMT996126,IID718827,E2E282270,TX760884,7998.18,CZK,2015-09-12T02:47:28Z,Katz,5048377910190656,ME49 5241 6807 3570 3224 88,185,Tersina Brashaw,5288738990127224,COBAAEADXXX ,CXBSNS
PMT143388,IID477134,E2E822545,TX957083,9999.41,CNY,2016-09-17T03:30:01Z,Quatz,3532095923665716,IE12 JQWE 0161 7909 5056 65,711,Olympia Pallent,3577944322273299,COBASGSXXXX,CXPSNL
